車款名稱,成本底價,備註
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
AUDI A1 白黑灰 (2012),140493,"里程: 140,493km, 評價: N, 來源: PDF"
AUDI A3 白 (2012),104002,"里程: 104,002km, 評價: B+, 來源: PDF"
AUDI A3 白 (2013),180000,"里程: 114,834km, 評價: A, 來源: PDF"
AUDI A3 銀 (2013),152540,"里程: 152,540km, 評價: A, 來源: PDF"
AUDI A3 紅 (2016),161000,"里程: 140,315km, 評價: A+, 來源: PDF"
AUDI A3 灰 (2017),339000,"里程: 116,704km, 評價: A, 來源: PDF"
AUDI A3 白 (2018),365000,"里程: 74,384km, 評價: , 來源: PDF"
AUDI A4 深灰 (2015),140000,"里程: 103,401km, 評價: B+, 來源: PDF"
AUDI A4 白 (2015),215581,"里程: 215,581km, 評價: A, 來源: PDF"
AUDI Q2 灰 (2017),338000,"里程: 63,870km, 評價: A+, 來源: PDF"
AUDI Q3 白 (2022),849000,"里程: 74,255km, 評價: A+, 來源: PDF"
AUDI Q5 白 (2017),426000,"里程: 129,230km, 評價: A+, 來源: PDF"
AUDI Q7 深藍 (2012),205087,"里程: 205,087km, 評價: , 來源: PDF"
AUDI Q7 白 (2012),207505,"里程: 207,505km, 評價: B+, 來源: PDF"
AUDI Q7 白 (2015),278000,"里程: 141,987km, 評價: , 來源: PDF"
BENZ A180 白 (2014),335000,"里程: 102,483km, 評價: A, 來源: PDF"
BENZ A180 藍 (2014),83000,"里程: 0km, 評價: N, 來源: PDF"
BENZ A180 黑 (2015),180953,"里程: 180,953km, 評價: , 來源: PDF"
BENZ A180 深灰 (2022),752000,"里程: 0km, 評價: B, 來源: PDF"
BENZ A250 黑 (2013),304000,"里程: 132,830km, 評價: A+, 來源: PDF"
BENZ B180 白 (2012),167659,"里程: 167,659km, 評價: A, 來源: PDF"
BENZ B180 白 (2013),209810,"里程: 209,810km, 評價: B+, 來源: PDF"
BENZ B180 白 (2017),411000,"里程: 70,570km, 評價: A, 來源: PDF"
BENZ B200 淺灰 (2012),138325,"里程: 138,325km, 評價: B, 來源: PDF"
BENZ B200 白 (2019),789000,"里程: 67,614km, 評價: A+, 來源: PDF"
BENZ C180 銀 (2011),183677,"里程: 183,677km, 評價: A, 來源: PDF"
BENZ C180 黑 (2012),183988,"里程: 183,988km, 評價: A, 來源: PDF"
BENZ C180 灰 (2012),155000,"里程: 103,001km, 評價: B, 來源: PDF"
BENZ C180 白 (2014),270000,"里程: 147,930km, 評價: A, 來源: PDF"
BENZ C200 黑 (2010),105000,"里程: 101,206km, 評價: B+, 來源: PDF"
BENZ C200 黑 (2011),129000,"里程: 104,501km, 評價: A+, 來源: PDF"
BENZ C200 銀 (2011),135848,"里程: 135,848km, 評價: A, 來源: PDF"
BENZ C200 白 (2012),220000,"里程: 146,017km, 評價: A, 來源: PDF"
BENZ C220 黑 (2011),145325,"里程: 145,325km, 評價: B, 來源: PDF"
BENZ C220 黑 (2013),186848,"里程: 186,848km, 評價: A, 來源: PDF"
BENZ C250 黑 (2012),368057,"里程: 368,057km, 評價: B, 來源: PDF"
BENZ C250 黑 (2012),170489,"里程: 170,489km, 評價: A+, 來源: PDF"
BENZ C250 白黑 (2013),244895,"里程: 244,895km, 評價: A, 來源: PDF"
C250 黑 白 (2013),185825,"里程: 185,825km, 評價: B, 來源: PDF"
BENZ C250 白黑 (2016),655000,"里程: 137,229km, 評價: B, 來源: PDF"
BENZ C250 白 (2018),301000,"里程: 121,881km, 評價: N, 來源: PDF"
BENZ C300 黑 (2007),193562,"里程: 193,562km, 評價: A, 來源: PDF"
BENZ C300 白 (2014),290000,"里程: 206,827km, 評價: A, 來源: PDF"
BENZ C300 黑 (2015),281000,"里程: 125,177km, 評價: A, 來源: PDF"
BENZ C300 灰 (2015),220000,"里程: 0km, 評價: B, 來源: PDF"
BENZ C300 白 (2015),412000,"里程: 0km, 評價: , 來源: PDF"
BENZ C300 淺藍 (2015),207000,"里程: 0km, 評價: A, 來源: PDF"
BENZ C300 白 (2015),501000,"里程: 221,552km, 評價: A+, 來源: PDF"
BENZ C300 白 (2015),167000,"里程: 0km, 評價: , 來源: PDF"
BENZ C300 黑 (2016),519000,"里程: 162,105km, 評價: B+, 來源: PDF"
BENZ C300 白 (2016),500000,"里程: 147,604km, 評價: B+, 來源: PDF"
BENZ CLA200 紅 (2014),256534,"里程: 256,534km, 評價: B, 來源: PDF"
BENZ CLA250 黑 (2014),385000,"里程: 200,514km, 評價: A+, 來源: PDF"
BENZ CLA250 白 (2015),200000,"里程: 0km, 評價: B, 來源: PDF"
BENZ E250 黑 (2015),223012,"里程: 223,012km, 評價: C+, 來源: PDF"
BENZ E250 黑 (2018),770000,"里程: 120,091km, 評價: B+, 來源: PDF"
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
BENZ E300 黑 (2019),1172000,"里程: 33,156km, 評價: A+, 來源: PDF"
BENZ E300 黑 (2021),1691000,"里程: 18,854km, 評價: A+, 來源: PDF"
BENZ GLA200 深灰 (2014),127000,"里程: 0km, 評價: B+, 來源: PDF"
BENZ GLA200 淺藍 (2015),141761,"里程: 141,761km, 評價: B, 來源: PDF"
BENZ GLA250 白 (2015),350000,"里程: 115,371km, 評價: B+, 來源: PDF"
BENZ GLA250 灰 (2022),1286000,"里程: 31,349km, 評價: A+, 來源: PDF"
BENZ GLC300 白 (2016),389000,"里程: Unknown, 評價: B+, 來源: PDF"
BENZ GLC300 白 (2020),1165000,"里程: 109,179km, 評價: A+, 來源: PDF"
BENZ S350 黑 (2011),232766,"里程: 232,766km, 評價: B, 來源: PDF"
BENZ S350 黑 (2015),700000,"里程: 63,401km, 評價: A+, 來源: PDF"
BENZ S450 黑 (2019),1250000,"里程: 125,399km, 評價: B, 來源: PDF"
BENZ V250d 銀 (2018),797000,"里程: 165,033km, 評價: A+, 來源: PDF"
VITO TOURER 黑 (2017),465000,"里程: 441,410km, 評價: , 來源: PDF"
VITO TOURER 黑 (2018),384731,"里程: 384,731km, 評價: B, 來源: PDF"
VITO TOURER 黑 (2018),367000,"里程: 0km, 評價: B, 來源: PDF"
VITO TOURER 黑 (2024),1091000,"里程: 158,813km, 評價: A+, 來源: PDF"
BMW 白 (2015),214000,"里程: 168,619km, 評價: A+, 來源: PDF"
BMW 白 (2017),152000,"里程: 113,588km, 評價: B, 來源: PDF"
BMW 白黑 (2012),258000,"里程: 206,252km, 評價: B, 來源: PDF"
